idx,Base salt,Initial loading,Final loading,Fitness
140,CaZn2(PO4)2,1.0,2.0,2.91
141,CaZn2(PO4)2,0.67,2.0,2.97
142,CaZn2(PO4)2,0.0,2.0,3.09
143,CaZn2(PO4)2,0.67,1.0,2.88
144,CaZn2(PO4)2,0.0,1.0,3.04
145,CaZn2(PO4)2,0.0,0.67,3.12
146,Cd(ClO4)2,4.0,6.0,2.0
147,Cd(ClO4)2,0.0,6.0,2.39
148,Cd(NO3)2,2.0,4.0,2.17
149,Cd(NO3)2,0.0,4.0,2.47
150,Cd(NO3)2,0.0,2.0,2.84
151,CdBr2,0.0,4.0,3.0
152,CdCl2,2.5,4.0,2.52
153,CdCl2,1.0,4.0,2.85
154,CdCl2,0.0,4.0,3.05
155,CdCl2,1.0,2.5,2.55
156,CdCl2,0.0,2.5,2.76
157,CdCl2,0.0,1.0,3.21
158,CdF2,0.0,2.0,4.02
159,CdSeO4,0.0,1.0,4.3
160,CdSO4,1.0,2.67,3.5
161,CdSO4,0.0,2.67,3.77
162,CdSO4,0.0,1.0,3.78
163,Ce(NO3)3,3.0,4.0,2.21
165,CeBr3,0.0,7.0,2.8
166,CeCl3,6.0,7.0,1.59
167,CeCl3,0.0,7.0,2.24
168,CeCl3,0.0,6.0,2.28
169,CePO4,0.0,2.0,4.21
170,Co(ClO4)2,0.0,6.0,2.94
171,Co(HCOO)2,0.0,2.0,2.13
172,Co(NO3)2,4.0,6.0,1.4
173,Co(NO3)2,0.0,6.0,1.87
174,Co(NO3)2,3.0,4.0,1.73
175,Co(NO3)2,2.0,3.0,1.85
176,Co(NO3)2,0.0,2.0,2.44
177,CoBr2,0.0,6.0,2.41
178,CoBr2,2.0,4.0,2.37
179,CoBr2,0.0,4.0,2.71
180,CoBr2,0.0,2.0,3.4
181,CoCl2,4.0,6.0,1.34
182,CoCl2,2.0,6.0,1.63
183,CoCl2,1.0,6.0,1.78
184,CoCl2,0.0,6.0,1.92
185,CoCl2,2.0,4.0,1.58
186,CoCl2,1.0,2.0,2.23
187,CoCl2,0.0,2.0,2.45
188,CoCl2,0.0,1.0,2.77
189,CoF2,0.0,4.0,2.23
190,CoSeO3,0.0,2.0,3.38
191,CoSO4,6.0,7.0,1.19
192,CoSO4,1.0,7.0,1.82
193,CoSO4,0.0,7.0,1.94
194,CoSO4,1.0,6.0,1.88
195,CoSO4,0.0,6.0,2.01
196,Cr2(SO4)3,8.0,14.0,1.81
197,Cr2(SO4)3,0.0,14.0,2.33
198,Cr2(SO4)3,0.0,8.0,2.33
199,CrCl2,3.0,4.0,1.38
200,CrCl2,2.0,4.0,1.55
201,CrCl2,0.0,4.0,1.91
202,CrCl2,2.0,3.0,1.6
203,CrCl2,0.0,3.0,2.0
204,CrCl2,0.0,2.0,2.0
205,CrCl3,0.0,6.0,1.81
206,CrF3,5.0,9.0,1.09
207,CrF3,3.0,9.0,1.3
208,CrF3,0.0,9.0,1.63
209,CrF3,3.0,5.0,1.43
210,CrF3,0.0,5.0,1.98
211,CrF3,0.0,3.0,2.22
213,Cs2CO3,1.5,3.5,2.97
214,Cs2CO3,0.0,3.5,3.21
217,Cs2Cu(SO4)2,0.0,6.0,2.79
218,Cs2Fe(SO4)2,0.0,6.0,2.8
219,Cs2Mg(SeO4)2,4.0,6.0,2.63
220,Cs2Mg(SeO4)2,2.0,6.0,2.79
221,Cs2Mg(SeO4)2,0.0,6.0,2.95
222,Cs2Mg(SO4)2,2.0,6.0,2.52
223,Cs2Mg(SO4)2,0.0,6.0,2.78
224,Cs2Ni(SO4)2,2.0,6.0,2.73
225,Cs2Ni(SO4)2,0.0,6.0,2.88
226,Cs2Zn(SO4)2,0.0,6.0,2.89
227,CsAl(SO4)2,0.0,12.0,1.92
228,CsCd(SO4)2,2.0,6.0,1.8
229,CsCr(SeO4)2,0.0,12.0,2.42
230,CsCr(SO4)2,0.0,12.0,2.08
231,CsF,1.0,1.5,4.14
232,CsF,0.0,1.5,4.63
233,CsF,0.0,1.0,4.63
234,CsFe(SO4)2,4.0,6.0,1.82
235,CsGa(SeO4)2,0.0,12.0,2.7
236,CsMg(SO4)2,2.0,6.0,1.85
237,CsNi(SO4)2,2.0,6.0,1.99
238,CsOH,0.0,1.0,3.48
239,CsTi(SO4)2,0.0,12.0,1.49
240,CsV(SO4)2,0.0,12.0,1.49
241,CsZn(SO4)2,2.0,6.0,2.01
242,Cu(CH3COO)2,0.0,1.0,1.9
243,Cu(ClO4)2,4.0,8.0,1.87
244,Cu(HCOO)2,2.0,4.0,1.53
245,Cu(HCOO)2,0.0,4.0,1.84
246,Cu(HCOO)2,0.0,2.0,2.09
247,Cu(IO3)2,0.0,1.0,4.23
248,Cu(NO3)2,3.0,6.0,1.69
249,Cu(NO3)2,0.0,6.0,2.07
