idx,Base salt,Initial loading,Final loading,Fitness
0,AgF,0.0,1.0,2.7
1,Al(NO3)3,6.0,9.0,0.83
2,Al(NO3)3,0.0,9.0,1.86
3,Al(NO3)3,0.0,6.0,1.31
4,Al3(OH)3(PO4)2,0.67,5.0,1.4
5,Al3(OH)3(PO4)2,0.0,5.0,1.42
6,Al2(OH)4SO4,2.0,7.0,0.94
7,Al2(OH)4SO4,0.0,7.0,1.14
8,Al2(OH)4SO4,0.0,2.0,0.34
9,Al2(SO4)3,16.5,18.0,0.16
10,Al2(SO4)3,14.0,18.0,0.49
11,Al2(SO4)3,6.0,18.0,1.95
12,Al2(SO4)3,0.0,18.0,3.02
13,Al2(SO4)3,14.0,16.5,0.36
14,Al2(SO4)3,6.0,16.5,1.94
15,Al2(SO4)3,0.0,16.5,3.1
16,Al2(SO4)3,6.0,14.0,1.7
17,Al2(SO4)3,0.0,14.0,2.95
18,Al2(SO4)3,0.0,6.0,2.18
19,Al2O3,1.0,3.0,1.8
20,Al2O3,0.0,1.0,1.82
21,AlCl3,0.0,6.0,3.86
22,AlF3,3.0,9.0,2.06
23,AlF3,1.0,9.0,2.69
24,AlF3,0.0,9.0,2.89
25,AlF3,1.0,3.0,1.58
26,AlF3,0.5,3.0,3.0
27,AlF3,0.0,3.0,2.07
28,AlF3,0.0,1.0,1.19
29,AlPO4,0.0,2.0,1.75
30,AlPO4,0.0,1.0,1.39
31,As2O5,1.67,4.0,1.19
32,As2O5,0.0,4.0,1.71
33,Ba(ClO4)2,1.0,3.0,0.84
34,Ba(ClO4)2,0.0,3.0,2.3
35,Ba(IO3)2,0.0,1.0,0.25
36,Ba(N3)2,0.0,1.0,0.55
37,Ba(OH)2,3.0,8.0,1.91
38,Ba(OH)2,1.0,7.0,2.4
39,Ba(OH)2,0.0,7.0,2.87
40,Ba(OH)2,1.0,3.0,1.63
41,Ba(OH)2,0.0,3.0,2.44
42,Ba(OH)2,1.0,1.3,0.35
43,Ba(OH)2,0.0,1.3,1.55
44,Ba(OH)2,0.0,1.0,1.26
45,BaAl2O4,0.0,1.0,2.54
46,BaBr2,1.0,2.0,0.66
47,BaBr2,0.0,2.0,1.46
48,BaBr2,0.0,1.0,0.76
49,BaC2O4,0.5,1.0,0.32
50,BaCl2,1.0,2.0,0.64
51,BaCl2,0.0,2.0,1.5
52,BaCl2,0.0,1.0,0.98
53,BaI2,0.0,6.0,2.21
54,BaI2,1.0,2.0,0.55
55,BaI2,0.0,2.0,1.31
56,BaI2,0.0,1.0,0.84
57,BeCl2,0.0,4.0,3.54
58,BeSeO4,2.0,4.0,1.1
