idx,Base salt,Initial loading,Final loading,Fitness
0,AgF,0.0,1.0,59.2
1,Al(NO3)3,6.0,9.0,60.37
2,Al(NO3)3,0.0,9.0,45.07
3,Al(NO3)3,0.0,6.0,40.76
4,Al3(OH)3(PO4)2,0.67,5.0,58.88
5,Al3(OH)3(PO4)2,0.0,5.0,51.58
6,Al2(OH)4SO4,2.0,7.0,35.88
7,Al2(OH)4SO4,0.0,7.0,31.29
8,Al2(OH)4SO4,0.0,2.0,19.83
9,Al2(SO4)3,16.5,18.0,42.37
10,Al2(SO4)3,14.0,18.0,48.19
11,Al2(SO4)3,6.0,18.0,63.62
12,Al2(SO4)3,0.0,18.0,65.73
13,Al2(SO4)3,14.0,16.5,51.69
14,Al2(SO4)3,6.0,16.5,66.65
15,Al2(SO4)3,0.0,16.5,67.85
16,Al2(SO4)3,6.0,14.0,71.33
17,Al2(SO4)3,0.0,14.0,70.74
18,Al2(SO4)3,0.0,6.0,69.99
19,Al2O3,1.0,3.0,56.5
20,Al2O3,0.0,1.0,71.09
21,AlCl3,0.0,6.0,91.21
22,AlF3,3.0,9.0,58.7
23,AlF3,1.0,9.0,57.58
24,AlF3,0.0,9.0,54.93
25,AlF3,1.0,3.0,54.2
26,AlF3,0.5,3.0,78.4
27,AlF3,0.0,3.0,47.4
28,AlF3,0.0,1.0,33.8
29,AlPO4,0.0,2.0,67.2
30,AlPO4,0.0,1.0,75.97
31,As2O5,1.67,4.0,60.06
32,As2O5,0.0,4.0,50.3
33,Ba(ClO4)2,1.0,3.0,56.2
34,Ba(ClO4)2,0.0,3.0,101.94
35,Ba(IO3)2,0.0,1.0,27.0
36,Ba(N3)2,0.0,1.0,44.3
37,Ba(OH)2,3.0,8.0,58.5
38,Ba(OH)2,1.0,7.0,58.0
39,Ba(OH)2,0.0,7.0,59.23
40,Ba(OH)2,1.0,3.0,63.75
41,Ba(OH)2,0.0,3.0,63.7
42,Ba(OH)2,1.0,1.3,59.0
43,Ba(OH)2,0.0,1.3,60.23
44,Ba(OH)2,0.0,1.0,65.0
45,BaAl2O4,0.0,1.0,83.7
46,BaBr2,1.0,2.0,57.6
47,BaBr2,0.0,2.0,59.4
48,BaBr2,0.0,1.0,58.02
49,BaC2O4,0.5,1.0,46.0
50,BaCl2,1.0,2.0,50.43
51,BaCl2,0.0,2.0,59.0
52,BaCl2,0.0,1.0,67.0
53,BaI2,0.0,6.0,40.4
54,BaI2,1.0,2.0,55.2
55,BaI2,0.0,2.0,65.24
56,BaI2,0.0,1.0,75.28
57,BeCl2,0.0,4.0,86.85
58,BeSeO4,2.0,4.0,60.69
59,BeSeO4,0.0,4.0,62.68
60,BeSeO4,0.0,2.0,64.66
61,BeSO4,3.0,4.0,61.5
62,BeSO4,2.0,4.0,58.6
63,BeSO4,1.0,4.0,62.43
64,BeSO4,0.0,4.0,63.93
65,BeSO4,2.0,3.0,57.56
66,BeSO4,1.0,3.0,64.73
67,BeSO4,0.0,3.0,88.26
68,BeSO4,1.0,2.0,68.11
69,BeSO4,0.0,2.0,69.25
70,BeSO4,0.0,1.0,68.4
71,BiCl3,0.0,1.0,65.4
72,(CH3)(NH2)Al(SO4)2,0.0,12.0,65.8
73,(CH3)(NH2)Cr(SO4)2,0.0,12.0,74.9
74,(CH3)(NH2)Fe(SO4)2,0.0,12.0,93.0
75,Ca6Al2(OH)12(SO4)3,0.0,26.0,46.63
76,Ca6Al2(OH)12(SO4)3,7.0,26.0,38.73
77,Ca6Fe2(OH)12(SO4)3,2.0,26.0,45.3
78,Ca6Al2(OH)12(CO3)3,3.0,26.0,43.37
79,Ca(Al2Si2O6)2,3.5,4.0,43.53
80,Ca(Al2Si2O6)2,2.0,4.0,53.15
81,Ca(Al2Si2O6)2,2.0,3.5,56.36
82,Ca(CH3COO)2,0.0,1.0,63.0
83,Ca(ClO4)2,0.0,4.0,64.89
84,Ca(H2PO4)2,0.0,1.0,53.2
85,Ca(IO3)2,1.0,6.0,50.94
86,Ca(IO3)2,0.0,6.0,61.23
87,Ca(IO3)2,0.0,1.0,70.48
88,Ca(NO3)2,3.0,4.0,57.42
