idx,Base salt,Initial loading,Final loading,Fitness
3856,PbBr2,1,2.0,0.746
115,Ba(ClO4)2,0,9.0,2.31
56,AlPO4,0,11.0,3.55
373,CaCO3,0,3.0,2.15
3545,GaBr3,4,6.0,1.04
3625,VBr2,0,1.0,0.98
158,Ni2P2O7,0,2.0,1.49
2745,LiCl,1,4.0,1.997
1437,RbCl,0,4.0,1.866
1059,TiF4,0,5.0,3.058
746,BaI2,0,2.0,1.277
2095,BaCl2,0,1.0,0.846
3092,VBr3,0,3.0,1.605
2244,LiBr,3,4.0,0.538
1553,PbCl4,0,4.0,1.8
465,MoBr4,0,8.0,2.355
2684,VF4,0,2.0,2.414
1053,ScF3,0,9.0,2.97
290,MgBr2,1,12.0,2.979
1317,BaF2,0,4.0,2.339
2770,BaCl2,1,9.0,2.116
2685,MnCl2,1,6.0,2.295
831,FePO4,0,1.0,0.79
658,KOH,4,7.0,1.13
411,K2HPO4,1,6.0,2.0
2965,YF3,2,7.0,1.755
1032,SiF4,0,5.0,3.273
293,Ni(NO3)2,0,6.0,2.68
4007,SrI2,6,8.0,0.496
84,AlF3,3,9.0,2.297
1350,MgCl2,2,6.0,2.071
4010,MgCl2,8,9.0,0.443
1757,BaBr2,2,6.0,1.386
2868,VCl4,0,4.0,1.915
4144,GeF2,7,8.0,0.311
734,SnF4,3,5.0,1.263
482,Fe3(PO4)2,0,4.0,1.94
239,BeCl2,0,4.0,3.816
2971,ZnF2,2,4.0,1.786
106,SrBr2,2,12.0,2.124
3540,SnBr2,8,12.0,0.966
2878,ZnCl2,1,4.0,1.922
555,LiBr,1,4.0,1.873
468,BaI2,0,9.0,2.329
980,Sn(H2PO4)2,1,2.0,0.4
1107,CoBr2,0,12.0,2.743
1424,GaI3,0,9.0,2.052
296,ZnF2,2,12.0,2.918
842,Ca(NO3)2,4,6.0,0.7
2636,TiF4,2,8.0,2.314
485,CaBr2,2,9.0,2.168
8,ZnF2,0,12.0,3.533
1067,VBr2,0,12.0,2.933
306,AlAsO4,2,9.0,2.58
2842,YBr3,2,9.0,1.963
1044,GeF4,0,3.0,3.388
638,Ba(IO3)2,0,6.0,1.37
1847,LaI3,0,3.0,1.268
654,HfF4,2,5.0,1.589
3248,SnCl4,2,5.0,1.358
798,MnCl2,6,9.0,0.928
4047,GeCl4,4,5.0,0.432
731,PbCl4,4,8.0,1.27
3310,YI3,4,8.0,1.32
157,PbBr2,0,4.0,1.871
1715,MgCl2,2,4.0,1.346
1876,SnBr4,0,3.0,1.216
1015,Sr3(AsO4)2,10,11.0,0.23
808,K2SO4,7,10.0,0.75
655,SnF4,4,8.0,1.514
107,LaBr3,0,8.0,2.324
4050,GeF2,8,9.0,0.42
179,PbCl2,0,2.0,1.461
2932,NaBr,0,2.0,1.831
3566,MoI4,4,8.0,1.043
829,Mn(NO3)2,4,6.0,0.75
1280,KF,1,4.0,2.138
167,BaI2,1,6.0,1.624
80,HfF4,0,5.0,2.604
2417,BeF2,0,9.0,3.128
807,CoPO4,7,9.0,0.81
2899,SnF4,1,3.0,1.953
3905,FeCl2,9,12.0,0.566
31,Rb2S,0,9.0,2.812
508,NaClO4,0,3.0,1.7
1677,ZnF2,8,12.0,1.387
1256,HfF4,0,3.0,2.581
3954,FeI3,6,9.0,0.58
73,MgCO3,0,5.0,3.01
729,Ni(ClO4)2,4,8.0,1.05
1432,YCl3,2,6.0,1.983
1995,RbI,0,2.0,0.979
3171,SnBr4,0,4.0,1.526
943,Sr(BrO3)2,0,1.0,0.53
1618,GeBr2,4,12.0,1.489
2771,HfF4,1,5.0,2.245
69,Li2CO3,0,10.0,3.04
141,Fe3(PO4)2,0,4.0,1.94
3857,WI4,0,3.0,0.745
2122,MoBr3,6,9.0,0.755
2652,CuF2,2,6.0,2.427
848,NaI,1,2.0,0.839
3276,CaCl2,4,8.0,1.149
3843,MgBr2,7,8.0,0.674
665,Ca(IO3)2,2,6.0,1.3
1752,NiF2,4,8.0,1.31
3868,MgI2,6,8.0,0.678
3995,SrF2,8,9.0,0.5
486,CaBr2,0,4.0,2.261
1357,CaBr2,1,8.0,2.055
2287,PbCl4,3,4.0,0.446
811,PbCl2,2,4.0,0.975
1832,ZnI2,0,2.0,1.282
3879,MnCl4,2,3.0,0.66
807,HfF4,2,3.0,1.015
3408,LaCl3,0,2.0,1.228
254,NiF2,0,4.0,3.759
354,LaAsO4,0,9.0,2.34
3888,GaBr3,0,1.0,0.682
2869,TiBr3,0,4.0,2.008
1659,AlF3,6,9.0,1.397
1538,SnF2,0,2.0,1.848
2736,CaBr2,2,9.0,2.168
346,CaF2,2,12.0,2.51
3969,ZrCl4,2,3.0,0.561
4044,VCl4,4,5.0,0.426
522,NaBrO3,0,3.0,1.7
721,CaF2,2,4.0,1.247
1801,KF,1,2.0,1.196
199,ScCl3,6,9.0,0.963
1041,CaF2,0,12.0,2.971
227,NiSO4,0,7.0,3.35
1936,BaBr2,1,4.0,1.083
1893,GaCl3,1,3.0,1.113
2548,YF3,1,9.0,2.526
4097,CaI2,8,9.0,0.383
591,CaHPO4,3,7.0,1.39
1557,BaBr2,1,6.0,1.769
146,Ni2P2O7,2,6.0,1.73
1849,LaI3,3,7.0,1.235
2967,YF3,4,9.0,1.672
16,K2Se,5,9.0,1.293
2034,SrCl2,2,4.0,0.881
2266,MgBr2,8,9.0,0.465
537,Ni3(PO4)2,2,7.0,1.71
1744,CuCl2,4,9.0,1.318
200,NaOH,0,7.0,3.73
2233,ZnI2,4,6.0,0.589
1127,BaF2,0,9.0,2.821
