idx,Base salt,Initial loading,Final loading,Fitness
0,CoF3,0,9.0,1.7602081665332263
1,BeCl2,0,4.0,1.5215311004784688
2,AlCl3,0,9.0,1.4367504835589942
3,AlCl3,0,6.0,1.6650738488271069
4,CrF3,0,9.0,1.6291648636953702
5,MgCl2,0,12.0,1.2558311736393928
6,AlF3,0,9.0,1.5057471264367814
7,VF2,0,12.0,1.4898477157360406
8,ZnF2,0,12.0,1.570920409070698
9,GeF4,0,5.0,2.1262626262626263
10,MoF3,0,9.0,1.8137691926696384
11,MgF2,0,12.0,1.3725091500610005
12,NiF2,0,4.0,2.2920731707317072
13,BeBr2,0,4.0,2.1806872037914693
14,AlBr3,0,9.0,1.9437396580253723
15,MgBr2,0,12.0,1.5281003251277288
16,MgCl2,1,12.0,1.2559474979491383
17,AlBr3,0,6.0,2.311284046692607
18,SnF4,0,8.0,2.048235294117647
19,GaF3,0,9.0,1.73189926547744
20,TiF4,0,8.0,1.6151530356246862
21,CaCl2,0,12.0,1.2395789473684211
22,ZnF2,0,4.0,2.3086751849361127
23,BeI2,0,8.0,2.1454891994917404
24,NaF,0,4.0,1.5368994551758297
25,CaF2,0,12.0,1.347392290249433
26,MgI2,0,9.0,2.2065573770491804
27,SnF4,0,5.0,2.385704175513093
28,ScCl3,0,9.0,1.410379625180202
29,ZnCl2,0,12.0,1.429408891060088
30,BeI2,0,4.0,2.6371541501976283
31,ScF3,0,9.0,1.5030364372469638
32,MgI2,0,12.0,1.7354765933446137
33,MgCl2,2,12.0,1.255464480874317
34,TiF4,0,5.0,1.8105387803433983
35,CaCl2,1,12.0,1.2391705069124426
36,KF,0,4.0,1.4378488077118214
37,GeF4,0,2.0,2.8873114463176575
38,GaCl3,0,9.0,1.597694840834248
39,CaBr2,0,12.0,1.478170478170478
40,CrCl3,0,9.0,1.5081707959936743
41,MgCl2,0,4.0,1.6242937853107344
42,AlI3,0,9.0,2.347201210287443
43,RbF,0,4.0,1.843001261034048
44,SrCl2,0,12.0,1.3602452733776187
45,AlF3,0,3.0,1.997275204359673
46,ScCl3,0,6.0,1.655621301775148
47,MnCl4,0,8.0,1.7541795665634676
48,ZnBr2,0,12.0,1.6952841596130592
49,AlI3,0,6.0,2.73826714801444
50,YCl3,0,6.0,2.0533428165007113
51,ZrF4,0,8.0,1.8190661478599224
52,CoBr2,0,12.0,1.6797305572565828
53,HfF4,0,8.0,2.3341365461847388
54,YF3,0,9.0,1.636308439587128
55,YCl3,0,9.0,1.5077720207253886
56,ScBr3,0,9.0,1.8821525885558583
57,CaBr2,1,12.0,1.4773379231210555
58,VCl4,0,8.0,1.7217223650385602
59,CaI2,0,12.0,1.6805819101834285
60,VF3,0,3.0,2.2414614773629866
61,SrBr2,0,12.0,1.581651376146789
62,MgBr2,0,4.0,2.320364238410596
63,SnCl4,0,8.0,1.9904970760233915
64,LiCl,0,2.0,1.6122576610381487
