idx,Base salt,Initial loading,Final loading,Fitness
1794,ZnCl2,4,8.0,37.7627125
1795,SrI2,6,12.0,51.02040650000001
1796,PbCl4,4,8.0,56.634184000000005
1797,SnF4,0,1.0,79.33658227599999
1798,CaI2,7,12.0,54.0621312
1799,BaI2,2,6.0,53.84688375
1800,BeBr2,4,8.0,39.444129475
1801,SnF4,3,5.0,61.023750373999995
1802,WCl4,0,3.0,53.285549
1803,PbBr2,0,2.0,61.463295
1804,YCl3,4,7.0,52.770595500000006
1805,YF3,3,6.0,36.05694832300001
1806,ScCl3,2,4.0,62.01116190000001
1807,MoI4,3,8.0,57.571538999999994
1808,MgBr2,8,12.0,47.84030775
1809,PbCl2,2,6.0,42.4576275
1810,YI3,0,3.0,72.09113239999999
1811,YF3,6,9.0,47.320579130000006
1812,LaCl3,3,6.0,55.47202733333334
1813,YCl3,1,3.0,70.89188685
1814,VBr4,4,8.0,56.43373125
1815,VBr3,1,3.0,73.5037875
1816,NiI2,4,9.0,41.7882192
1817,PbBr4,0,5.0,45.64993400000001
1818,SrI2,0,2.0,66.05532499999998
1819,VF3,4,6.0,43.621912827
1820,ZnI2,0,2.0,67.84682899999999
1821,PbCl4,2,5.0,61.264664
1822,TiF4,0,1.0,69.67712849200001
1823,VBr4,0,3.0,56.89673500000001
1824,GaBr3,0,2.0,72.719751
1825,NaBr,0,1.0,58.39893590999999
1826,CaBr2,4,8.0,46.843042999999994
1827,LiBr,1,2.0,56.41468
1828,YF3,0,2.0,44.573121705000005
1829,LaCl3,1,3.0,65.68226575
1830,NaBr,1,3.0,42.024440424999995
1831,BaI2,0,2.0,66.211195
1832,MgBr2,0,1.0,81.457584
1833,MgBr2,6,9.0,48.901776000000005
1834,ZrBr4,4,8.0,58.068244
1835,LaI3,0,3.0,62.14693333333333
1836,SnF2,4,8.0,32.0817395415
1837,LaI3,3,7.0,63.60549250000001
1838,CaI2,0,2.0,71.922342
1839,SnI2,1,4.0,56.019445333333344
1840,SnCl4,0,2.0,68.94369000000002
1841,GaF3,4,6.0,44.266696848
1842,PbCl2,4,9.0,36.7444638
1843,ZnBr2,8,12.0,49.120232
1844,SrCl2,8,12.0,44.4454515
1845,MgI2,2,4.0,70.211184
1846,GaF3,0,2.0,33.688258262999994
1847,CaCl2,2,4.0,52.264188
1848,GeF2,2,4.0,42.738798949
1849,KCl,2,4.0,42.9055444
1850,LaCl3,0,2.0,54.00854399999999
1851,YBr3,4,7.0,61.9913898
1852,RbI,1,4.0,47.06705633333334
1853,CaF2,4,8.0,26.9120224755
1854,NiBr3,3,6.0,52.86855
1855,YF3,2,4.0,43.2086383875
1856,SrI2,1,4.0,58.26650266666667
1857,TiF4,1,2.0,71.380031836
1858,SrI2,4,8.0,51.16926375
1859,CuF2,9,12.0,35.474019768000005
1860,BaBr2,7,12.0,50.2602474
1861,BaI2,1,4.0,55.499605333333335
1862,YI3,3,6.0,68.7745912
1863,LiBr,2,4.0,37.59975
1864,SnBr4,0,3.0,59.41035399999999
1865,BaF2,4,8.0,33.273525407
1866,BeI2,4,8.0,44.62291723500001
1867,SnI2,6,12.0,46.617133
1868,LiI,1,2.0,67.2742015
1869,VF4,5,8.0,39.2123576
1870,MoBr4,2,5.0,60.89159633333333
1871,CaBr2,8,12.0,47.79486099999999
1872,SiF4,5,8.0,34.99813678933334
1873,LaBr3,3,6.0,61.0054125
1874,VBr4,2,5.0,58.595145
1875,BeCl2,4,7.0,31.615310480000005
1876,PbI2,6,12.0,49.606462833333346
1877,GaBr3,3,6.0,53.188801000000005
1878,RbBr,0,2.0,51.357459000000006
1879,AlCl3,6,9.0,44.0356019
1880,SrI2,7,12.0,52.384585599999994
1881,GaCl3,1,3.0,55.2543945
1882,PbBr2,2,6.0,42.589596
1883,LaI3,3,6.0,71.51677866666667
1884,PbF2,8,12.0,43.2262398175
1885,TiF4,5,8.0,38.256801579999994
1886,NaBr,2,4.0,40.56574084
1887,VCl4,0,2.0,57.4246585
1888,GeCl2,2,4.0,51.254673
1889,SnF2,8,12.0,36.141995348
