idx,Base salt,Initial loading,Final loading,Fitness,Origin
1282,TiF4,0.0,4.0,71.474079977,s
3775,SrCl2,7.0,12.0,47.631951599999994,s
1947,CaBr2,1.0,12.0,63.07330718181818,s
5590,VPO4,4.0,5.0,44.2605222,s
2414,BeCl2,4.0,9.0,32.434698743999995,s
3960,YCl3,1.0,3.0,70.89188685,s
1998,CaBr2,0.0,8.0,63.512477,s
23,AlF3,1.0,9.0,57.58,e
5010,AlAsO4,2.0,11.0,54.67262333333333,s
157,CdCl2,0.0,1.0,53.3,e
1775,YI3,6.0,8.0,55.115784600000005,s
4930,Co2SiO4,0.0,1.0,59.27077,s
1877,NiCl2,0.0,12.0,58.84125099999999,s
2399,NiF2,8.0,12.0,38.434362566500006,s
506,MgCO3,1.0,3.0,51.9,e
5077,VPO4,4.0,11.0,48.9632148,s
1407,CaI2,0.0,6.0,65.120598,s
2738,PbCl2,2.0,4.0,52.303644,s
1254,MgI2,0.0,8.0,74.04928775,s
2529,BaCl2,1.0,4.0,48.521985,s
813,SnCl2,1.5,2.0,92.4,e
4397,TiBr4,3.0,5.0,54.47870999999999,s
1042,GeF4,0.0,2.0,104.029770362,s
559,MnBr2,0.0,1.0,76.0,e
916,UO2SO4,0.0,1.0,41.44,e
4712,HfF4,3.0,4.0,29.702348708,s
2828,MnCl3,6.0,9.0,33.66513266666667,s
3974,VBr4,0.0,3.0,56.89673500000001,s
1903,ZnCl2,0.0,9.0,56.16946377777778,s
4004,YF3,4.0,8.0,32.63967607275,s
5165,VPO4,5.0,11.0,45.2971767,s
4822,AlPO4,0.0,11.0,60.53138472727273,s
5512,Sr2As2O7,0.0,2.0,59.138625000000005,s
4492,SnI2,7.0,9.0,50.0448025,s
244,Cu(HCOO)2,2.0,4.0,60.04,e
65,BeSO4,2.0,3.0,57.56,e
5291,Pb(IO3)2,2.0,10.0,46.44955775,s
4483,WBr4,0.0,2.0,41.001695999999995,s
4957,LiOH,0.0,4.0,58.80512662500001,s
169,CePO4,0.0,2.0,50.53,e
3090,CrF3,0.0,6.0,65.81178652850001,s
2109,CaBr2,1.0,7.0,55.64135866666666,s
3074,LaI3,6.0,7.0,36.021478,s
3634,WCl4,3.0,8.0,61.529076,s
2225,CaF2,2.0,8.0,37.729806016000005,s
912,UO2SO4,1.0,3.0,69.55,e
5072,Sr3(PO4)2,0.0,11.0,58.5870948,s
3451,PbF2,0.0,4.0,53.6957144155,s
2321,KCl,1.0,4.0,49.33811376666666,s
4164,SnF2,9.0,12.0,39.33660378666667,s
3105,VCl2,0.0,12.0,63.99987333333333,s
5544,Zn3(PO4)2,0.0,1.0,84.8605212,s
3700,CaBr2,4.0,9.0,48.59779879999999,s
1490,MgI2,1.0,4.0,75.84297166666667,s
1233,VF4,0.0,5.0,72.69838752,s
1094,YI3,0.0,7.0,73.01879074285715,s
4992,K2CO3,0.0,10.0,60.80595780000001,s
5368,Mg2P2O7,0.0,2.0,64.64582999999999,s
2281,MnCl4,3.0,8.0,57.02081,s
1610,PbBr2,0.0,2.0,61.463295,s
2592,GaF3,4.0,6.0,44.266696848,s
444,LiCl,1.0,2.0,61.09,e
4973,CrAsO4,0.0,9.0,63.156758,s
2892,CaI2,7.0,9.0,53.2819185,s
2114,GaF3,0.0,3.0,55.192117148,s
2595,SrCl2,8.0,12.0,44.4454515,s
8,Al2(OH)4SO4,0.0,2.0,19.83,e
2650,LaF3,3.0,6.0,36.15881256866667,s
4578,MgBr2,8.0,9.0,50.12774399999999,s
5239,LiNO3,1.0,3.0,52.48795,s
302,FePO4,0.0,6.0,53.8,e
4816,Li2S,7.0,9.0,23.321034,s
5150,Ba(BrO3)2,0.0,10.0,52.7421648,s
628,Na2Se,4.5,9.0,46.51,e
2262,BaCl2,1.0,6.0,51.906114,s
2286,VCl4,3.0,8.0,56.7919628,s
4820,CoPO4,0.0,9.0,67.07061773333334,s
3393,MnCl4,2.0,8.0,62.03494000000001,s
5009,KOH,1.0,7.0,51.72163605,s
1182,LaI3,6.0,9.0,50.86487466666667,s
338,HClO4,0.0,2.0,62.75,e
3076,YI3,9.0,10.0,33.159139200000006,s
4570,CuCl2,7.0,8.0,41.928425,s
1331,GeBr2,0.0,12.0,54.42746399999999,s
4433,VF4,3.0,4.0,50.007788639999994,s
33,Ba(ClO4)2,1.0,3.0,56.2,e
2973,ZnBr2,6.0,8.0,30.954332999999995,s
378,K2Ni(SO4)2,0.0,6.0,62.0,e
5223,Sr(OH)2,1.0,3.0,57.5476301,s
5345,Ni3(AsO4)2,4.0,8.0,59.17482000000001,s
1338,SrF2,2.0,12.0,46.81289799859999,s
5210,Ba(BrO3)2,1.0,10.0,50.591212,s
973,ZnCl2,2.5,3.0,48.0,e
15,Al2(SO4)3,0.0,16.5,67.85,e
5227,NaClO4,0.0,3.0,53.533895566666665,s
5202,Mg3(AsO4)2,2.0,8.0,58.884903,s
3448,ZrCl4,0.0,4.0,74.671267,s
3815,TiF3,3.0,6.0,38.781410996,s
1225,VF3,0.0,6.0,60.0194206505,s
5082,AlAsO4,4.0,11.0,50.47527791428571,s
5229,Mn2P2O7,1.0,6.0,54.58857071999999,s
2197,SrI2,1.0,8.0,58.24137828571428,s
4609,LaBr3,7.0,9.0,44.36728249999999,s
