idx,Base salt,Initial loading,Final loading,Fitness
497,ZnCl2,4,12.0,1.4299065420560748
2885,SrBr2,0,4.0,2.4560723514211884
580,CrAsO4,5,9.0,2.0833333333333335
3032,ScI3,3,9.0,2.2373806275579806
33,MgCl2,2,12.0,1.255464480874317
765,SrI2,7,12.0,1.7644151565074135
2157,YCl3,7,9.0,1.5082742316784872
1224,CuCl2,0,4.0,2.081994928148774
3404,SnBr4,0,3.0,3.3591160220994474
3088,SrCl2,1,4.0,1.925257731958763
907,YI3,7,10.0,2.5118110236220472
3550,SrF2,2,4.0,2.0144628099173554
1657,PbBr2,4,12.0,2.008108108108108
2005,WBr4,5,8.0,3.0218749999999996
1260,PbCl2,1,12.0,1.79921568627451
443,VPO4,5,11.0,1.7850467289719625
118,CaHPO4,1,7.0,1.5984848484848484
879,CaI2,0,1.0,3.3451327433628317
756,LiOH,3,4.0,1.349206349206349
554,Zn3(AsO4)2,1,7.0,3.0740740740740735
3164,CrCl4,4,8.0,1.7423857868020305
2699,SrI2,0,6.0,2.715935334872979
634,FePO4,0,2.0,2.537037037037037
644,SrHAsO4,1,4.0,2.418181818181818
1747,LaBr3,3,8.0,2.438938053097345
351,VF3,0,3.0,2.2414614773629866
577,TiF4,2,5.0,1.810536980749747
1872,SiF4,5,8.0,1.6009036144578312
2145,CrI3,6,9.0,2.4006622516556293
2742,CaBr2,1,8.0,1.6348448687350838
44,K2Se,5,9.0,1.4131147540983606
2803,YCl3,2,7.0,1.9090909090909096
3539,CaBr2,6,9.0,1.813559322033898
3834,PbBr2,1,2.0,4.362573099415204
115,Ba(ClO4)2,0,9.0,2.2
56,AlPO4,0,11.0,1.7067307692307692
373,CaCO3,0,3.0,1.7622950819672132
3523,GaBr3,4,6.0,2.653061224489796
3603,VBr2,0,1.0,3.576642335766423
158,Ni2P2O7,0,2.0,3.386363636363636
2723,LiCl,1,4.0,1.4123055162659124
1425,RbCl,0,4.0,1.6268526591107235
1047,TiF4,0,5.0,1.8105387803433983
746,BaI2,0,2.0,4.119354838709677
2083,BaCl2,0,1.0,3.2413793103448274
3070,VBr3,0,3.0,2.835689045936396
2232,LiBr,3,4.0,1.823728813559322
1541,PbCl4,0,4.0,2.848101265822785
465,MoBr4,0,8.0,2.6283482142857144
2662,VF4,0,2.0,2.433467741935484
1041,ScF3,0,9.0,1.5030364372469638
290,MgBr2,1,12.0,1.5284761416110826
