idx,Base salt,Initial loading,Final loading,Fitness
2349,CaI2,7,8.0,0.28
56,AlPO4,0,11.0,3.55
754,CrPO4,1,2.0,1.0
4110,RbBr,2,3.0,0.366
3651,ZnCl2,4,6.0,0.882
158,Ni2P2O7,0,2.0,1.49
395,K2CO3,3,10.0,1.96
1437,RbCl,0,4.0,1.866
1059,TiF4,0,5.0,3.058
746,BaI2,0,2.0,1.277
2095,BaCl2,0,1.0,0.846
3092,VBr3,0,3.0,1.605
2244,LiBr,3,4.0,0.538
1553,PbCl4,0,4.0,1.8
465,MoBr4,0,8.0,2.355
3814,BaF2,9,12.0,0.689
1053,ScF3,0,9.0,2.97
290,MgBr2,1,12.0,2.979
1317,BaF2,0,4.0,2.339
3310,YI3,4,8.0,1.32
809,PbHPO4,2,4.0,0.87
3604,GaBr3,1,3.0,0.984
658,KOH,4,7.0,1.13
411,K2HPO4,1,6.0,2.0
2965,YF3,2,7.0,1.755
1032,SiF4,0,5.0,3.273
3367,ZnI2,0,2.0,1.282
763,LiNO3,1,2.0,0.88
84,AlF3,3,9.0,2.297
1350,MgCl2,2,6.0,2.071
3037,VBr2,4,9.0,1.631
1757,BaBr2,2,6.0,1.386
2868,VCl4,0,4.0,1.915
2876,NaBr,0,3.0,1.887
734,SnF4,3,5.0,1.263
979,PbHPO4,3,4.0,0.41
239,BeCl2,0,4.0,3.816
690,Sr(BrO3)2,4,10.0,1.19
106,SrBr2,2,12.0,2.124
3540,SnBr2,8,12.0,0.966
2878,ZnCl2,1,4.0,1.922
555,LiBr,1,4.0,1.873
468,BaI2,0,9.0,2.329
3962,YBr3,6,8.0,0.572
1107,CoBr2,0,12.0,2.743
1424,GaI3,0,9.0,2.052
296,ZnF2,2,12.0,2.918
3692,MgI2,4,6.0,0.862
2636,TiF4,2,8.0,2.314
485,CaBr2,2,9.0,2.168
8,ZnF2,0,12.0,3.533
1067,VBr2,0,12.0,2.933
534,Sr(BrO3)2,0,6.0,1.69
3553,MnBr4,3,5.0,1.046
1044,GeF4,0,3.0,3.388
2918,GeCl4,0,5.0,1.835
1847,LaI3,0,3.0,1.268
