idx,Base salt,Initial loading,Final loading,Fitness,Origin
2399,NiF2,8.0,12.0,1.43,s
506,MgCO3,1.0,3.0,1.39,e
5077,VPO4,4.0,11.0,2.25,s
1407,CaI2,0.0,6.0,2.228,s
2738,PbCl2,2.0,4.0,0.975,s
1254,MgI2,0.0,8.0,3.015,s
2529,BaCl2,1.0,4.0,1.324,s
813,SnCl2,1.5,2.0,0.55,e
4397,TiBr4,3.0,5.0,0.753,s
1042,GeF4,0.0,2.0,3.254,s
559,MnBr2,0.0,1.0,1.01,e
916,UO2SO4,0.0,1.0,0.41,e
4712,HfF4,3.0,4.0,0.33,s
2828,MnCl3,6.0,9.0,0.725,s
3974,VBr4,0.0,3.0,1.265,s
1903,ZnCl2,0.0,9.0,2.914,s
4004,YF3,4.0,8.0,1.142,s
5165,VPO4,5.0,11.0,1.91,s
4822,AlPO4,0.0,11.0,3.55,s
5512,Sr2As2O7,0.0,2.0,0.86,s
4492,SnI2,7.0,9.0,0.62,s
244,Cu(HCOO)2,2.0,4.0,0.97,e
65,BeSO4,2.0,3.0,0.62,e
5291,Pb(IO3)2,2.0,10.0,1.59,s
4483,WBr4,0.0,2.0,0.658,s
4957,LiOH,0.0,4.0,3.3,s
169,CePO4,0.0,2.0,1.57,e
3090,CrF3,0.0,6.0,3.664,s
2109,CaBr2,1.0,7.0,2.239,s
3074,LaI3,6.0,7.0,0.192,s
3634,WCl4,3.0,8.0,1.746,s
2225,CaF2,2.0,8.0,1.802,s
912,UO2SO4,1.0,3.0,1.27,e
5072,Sr3(PO4)2,0.0,11.0,2.4,s
3451,PbF2,0.0,4.0,2.194,s
2321,KCl,1.0,4.0,1.525,s
4164,SnF2,9.0,12.0,0.925,s
3105,VCl2,0.0,12.0,3.083,s
5544,Zn3(PO4)2,0.0,1.0,0.77,s
3700,CaBr2,4.0,9.0,1.52,s
1490,MgI2,1.0,4.0,1.869,s
1233,VF4,0.0,5.0,3.153,s
1094,YI3,0.0,7.0,2.402,s
4992,K2CO3,0.0,10.0,2.8,s
5368,Mg2P2O7,0.0,2.0,1.31,s
2281,MnCl4,3.0,8.0,1.744,s
1610,PbBr2,0.0,2.0,1.333,s
2592,GaF3,4.0,6.0,1.184,s
444,LiCl,1.0,2.0,1.17,e
4973,CrAsO4,0.0,9.0,3.34,s
2892,CaI2,7.0,9.0,0.678,s
2114,GaF3,0.0,3.0,2.308,s
2595,SrCl2,8.0,12.0,1.048,s
8,Al2(OH)4SO4,0.0,2.0,0.34,e
2650,LaF3,3.0,6.0,1.109,s
4578,MgBr2,8.0,9.0,0.465,s
5239,LiNO3,1.0,3.0,1.6,s
302,FePO4,0.0,6.0,2.17,e
4816,Li2S,7.0,9.0,0.767,s
5150,Ba(BrO3)2,0.0,10.0,2.07,s
628,Na2Se,4.5,9.0,1.18,e
2262,BaCl2,1.0,6.0,1.861,s
2286,VCl4,3.0,8.0,1.728,s
4820,CoPO4,0.0,9.0,3.82,s
3393,MnCl4,2.0,8.0,2.142,s
5009,KOH,1.0,7.0,2.56,s
1182,LaI3,6.0,9.0,0.715,s
338,HClO4,0.0,2.0,1.83,e
3076,YI3,9.0,10.0,0.172,s
4570,CuCl2,7.0,8.0,0.467,s
1331,GeBr2,0.0,12.0,2.353,s
4433,VF4,3.0,4.0,0.676,s
33,Ba(ClO4)2,1.0,3.0,0.84,e
2973,ZnBr2,6.0,8.0,0.475,s
378,K2Ni(SO4)2,0.0,6.0,1.8,e
5223,Sr(OH)2,1.0,3.0,1.81,s
5345,Ni3(AsO4)2,4.0,8.0,1.39,s
1338,SrF2,2.0,12.0,2.283,s
5210,Ba(BrO3)2,1.0,10.0,1.84,s
973,ZnCl2,2.5,3.0,0.27,e
15,Al2(SO4)3,0.0,16.5,3.1,e
5227,NaClO4,0.0,3.0,1.7,s
5202,Mg3(AsO4)2,2.0,8.0,1.9,s
3448,ZrCl4,0.0,4.0,2.08,s
3815,TiF3,3.0,6.0,1.378,s
1225,VF3,0.0,6.0,3.296,s
5082,AlAsO4,4.0,11.0,2.25,s
5229,Mn2P2O7,1.0,6.0,1.77,s
2197,SrI2,1.0,8.0,2.071,s
4609,LaBr3,7.0,9.0,0.43,s
3419,VF4,1.0,4.0,2.12,s
4628,VI2,7.0,8.0,0.425,s
4574,ScI3,6.0,8.0,0.5,s
1345,SrCl2,2.0,12.0,2.191,s
1530,CaBr2,4.0,9.0,1.52,s
5573,TiPO4,9.0,11.0,0.64,s
427,LaCl3,1.0,7.0,2.33,e
1563,CaI2,6.0,12.0,1.37,s
5241,AlAsO4,6.0,11.0,1.64,s
732,NH4Co(SO4)2,0.0,12.0,4.15,e
3547,SrF2,0.0,2.0,1.935,s
5678,Co3(AsO4)2,7.0,8.0,0.38,s
1035,ZnCl2,0.0,12.0,2.926,s
1879,VF4,0.0,5.0,3.153,s
4326,MoBr3,7.0,9.0,0.793,s
3152,TiF3,0.0,6.0,3.01,s
3780,VBr2,0.0,2.0,1.528,s
540,MgSO4,2.0,4.0,1.23,e
1738,LiBr,2.0,3.0,0.688,s
376,K2Mn(SO4)2,0.0,4.0,1.33,e
330,H2SO4,1.0,3.0,1.05,e
4915,Ni3(PO4)2,4.0,8.0,1.34,s
4123,GeBr2,2.0,4.0,1.051,s
1694,SnBr2,2.0,4.0,0.91,s
158,CdF2,0.0,2.0,2.89,e
2594,ZnBr2,8.0,12.0,1.121,s
4697,GeCl2,8.0,9.0,0.318,s
2141,AlF3,2.0,6.0,2.118,s
3600,CoF3,3.0,6.0,1.774,s
4281,PbBr4,5.0,8.0,0.879,s
4788,MnSe2,0.0,1.0,1.012,s
