idx,Base salt,Initial loading,Final loading,Fitness,Origin
4204,SrF2,9.0,12.0,1.490367775831874,s
2137,GaCl3,0.0,4.0,2.1480392156862744,s
3795,PbCl4,0.0,3.0,3.0382293762575454,s
3658,TiCl4,0.0,3.0,1.9902794653705953,s
4999,NiCO3,0.0,5.0,2.0704225352112675,s
3731,TiBr4,3.0,8.0,2.407751937984496,s
1282,TiF4,0.0,4.0,1.890335846470185,s
3775,SrCl2,7.0,12.0,1.360125260960334,s
1947,CaBr2,1.0,12.0,1.4773379231210555,s
5590,VPO4,4.0,5.0,2.2962962962962963,s
2414,BeCl2,4.0,9.0,1.4465408805031446,s
3960,YCl3,1.0,3.0,1.972267536704731,s
1998,CaBr2,0.0,8.0,1.6350710900473933,s
23,AlF3,1.0,9.0,1.33,e
5010,AlAsO4,2.0,11.0,1.8666666666666665,s
157,CdCl2,0.0,1.0,3.21,e
1775,YI3,6.0,8.0,2.6559633027522933,s
4930,Co2SiO4,0.0,1.0,3.423076923076923,s
1877,NiCl2,0.0,12.0,1.4407443682664056,s
2399,NiF2,8.0,12.0,1.5697036223929746,s
506,MgCO3,1.0,3.0,1.61,e
5077,VPO4,4.0,11.0,1.7857142857142858,s
1407,CaI2,0.0,6.0,2.292181069958848,s
2738,PbCl2,2.0,4.0,2.927927927927928,s
1254,MgI2,0.0,8.0,2.148966500356379,s
2529,BaCl2,1.0,4.0,2.3855855855855856,s
813,SnCl2,1.5,2.0,2.36,e
4397,TiBr4,3.0,5.0,2.7888888888888888,s
1042,GeF4,0.0,2.0,2.8873114463176575,s
559,MnBr2,0.0,1.0,3.09,e
916,UO2SO4,0.0,1.0,3.8,e
4712,HfF4,3.0,4.0,3.027522935779817,s
2828,MnCl3,6.0,9.0,1.5458422174840083,s
3974,VBr4,0.0,3.0,3.1467661691542284,s
1903,ZnCl2,0.0,9.0,1.720188902007084,s
4004,YF3,4.0,8.0,1.9065108514190316,s
5165,VPO4,5.0,11.0,1.7850467289719625,s
4822,AlPO4,0.0,11.0,1.7067307692307692,s
5512,Sr2As2O7,0.0,2.0,3.44,s
4492,SnI2,7.0,9.0,2.5306122448979593,s
244,Cu(HCOO)2,2.0,4.0,1.53,e
65,BeSO4,2.0,3.0,1.33,e
5291,Pb(IO3)2,2.0,10.0,3.0,s
4483,WBr4,0.0,2.0,4.328947368421053,s
4957,LiOH,0.0,4.0,1.3469387755102038,s
169,CePO4,0.0,2.0,4.21,e
3090,CrF3,0.0,6.0,2.014293567894448,s
2109,CaBr2,1.0,7.0,2.0654981549815496,s
3074,LaI3,6.0,7.0,2.8656716417910446,s
3634,WCl4,3.0,8.0,2.3594594594594596,s
2225,CaF2,2.0,8.0,1.4819078947368425,s
912,UO2SO4,1.0,3.0,3.67,e
